path,kind,thaw_action,boundary
ION/02_architecture/ACTIVATION_AUTHORITY_PROTOCOL.md,active_destination,create_if_thaw_closes,coupled_with_executor_lifecycle
ION/02_architecture/EXECUTOR_LIFECYCLE_PROTOCOL.md,active_destination,create_if_thaw_closes,coupled_with_activation_authority
ION/README.md,adjacent_root,amend_if_thaw_closes,read_order_visibility_only
ION/STATUS.md,adjacent_root,amend_if_thaw_closes,state_visibility_only
ION/SYSTEM_MAP.md,adjacent_root,amend_if_thaw_closes,module_map_visibility_only
ION/MASTER_ORCHESTRATION_INDEX.md,adjacent_root,amend_if_thaw_closes,index_visibility_only
ION/02_architecture/LAWFUL_ORCHESTRATION_SCHEDULER_PROTOCOL.md,adjacent_architecture,amend_if_thaw_closes,scheduler_is_not_activation
ION/02_architecture/EXECUTOR_CAPABILITY_REGISTRY_PROTOCOL.md,adjacent_architecture,amend_if_thaw_closes,capability_is_input_not_authority
ION/02_architecture/PACKET_AND_HANDOFF_STANDARDIZATION_PROTOCOL.md,adjacent_architecture,amend_if_thaw_closes,packet_legality_is_not_enactment_authority
ION/02_architecture/HANDOFF_TAKEOVER_NORMALIZATION_PROTOCOL.md,adjacent_architecture,amend_if_thaw_closes,takeover_is_not_new_activation
ION/02_architecture/CONTEXT_PERFECT_CONTINUATION_PROTOCOL.md,adjacent_architecture,amend_if_thaw_closes,continuation_preserves_thread_not_authority
ION/02_architecture/BOUNDED_PARALLELISM_AND_SETTLEMENT_PROTOCOL.md,adjacent_architecture,amend_if_thaw_closes,settlement_does_not_rewrite_lawfulness
