path,kind,emission_state,note
ION/02_architecture/RUNTIME_SESSION_AUTHORITY_PROTOCOL.md,active_protocol,EMITTED,coupled_with_queue_dispatch_and_api_entry
ION/02_architecture/SESSION_QUEUE_AND_DISPATCH_PROTOCOL.md,active_protocol,EMITTED,coupled_with_runtime_session_authority_and_api_entry
ION/02_architecture/API_RUNTIME_ENTRY_PROTOCOL.md,active_protocol,EMITTED,coupled_with_runtime_session_authority_and_queue_dispatch
ION/02_architecture/LAWFUL_ORCHESTRATION_SCHEDULER_PROTOCOL.md,adjacent_protocol,CLARIFIED,scheduler_is_not_runtime_session_center
ION/02_architecture/RUNTIME_STATE_BINDING_PROTOCOL.md,adjacent_protocol,CLARIFIED,state_binding_is_witness_not_authority
ION/02_architecture/RUNTIME_STATE_QUERY_PROTOCOL.md,adjacent_protocol,CLARIFIED,state_query_is_witness_not_authority
ION/02_architecture/RUNTIME_STATE_REPORTING_PROTOCOL.md,adjacent_protocol,CLARIFIED,state_reporting_is_witness_not_authority
ION/02_architecture/SUPERVISED_DAEMON_SERVICE_PROTOCOL.md,adjacent_protocol,CLARIFIED,daemon_shell_is_not_runtime_session_center
ION/02_architecture/EXTERNAL_EXECUTION_MCP_BRIDGE_PROTOCOL.md,adjacent_protocol,CLARIFIED,external_bridge_is_not_runtime_session_center
ION/02_architecture/OPERATOR_ENTRY_SURFACE_PROTOCOL.md,adjacent_protocol,CLARIFIED,operator_entry_is_not_runtime_session_authority
ION/02_architecture/ACTIVATION_AUTHORITY_PROTOCOL.md,adjacent_protocol,CLARIFIED,queue_readiness_or_api_entry_is_not_activation
ION/02_architecture/CONTEXT_PERFECT_CONTINUATION_PROTOCOL.md,adjacent_protocol,CLARIFIED,continuation_preserves_thread_not_session_authority
ION/02_architecture/BOUNDED_PARALLELISM_AND_SETTLEMENT_PROTOCOL.md,adjacent_protocol,CLARIFIED,settlement_classifies_closure_not_session_identity
ION/README.md,adjacent_root,CLARIFIED,read_order_visibility_only
ION/STATUS.md,adjacent_root,CLARIFIED,state_visibility_only
ION/SYSTEM_MAP.md,adjacent_root,CLARIFIED,module_map_visibility_only
ION/MASTER_ORCHESTRATION_INDEX.md,adjacent_root,CLARIFIED,index_visibility_only
